col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,col-26,col-27,col-28,col-29,col-30,col-31,col-32,col-33,col-34,col-35,col-36,col-37,col-38,col-39,col-40,col-41,col-42,target,index_y,middle_y,ring_y,pinky_y,thumb_y,thumb_x
0,0,36,-21,53,-65,51,-103,48,-127,27,-112,27,-151,27,-174,25,-195,6,-114,5,-158,5,-185,5,-207,-14,-110,-13,-151,-12,-176,-11,-197,-34,-97,-33,-129,-31,-148,-30,-167,stop,1.7410714285714286,1.8157894736842106,1.790909090909091,1.7216494845360826,0.5118110236220472,1.1041666666666667
0,0,46,-21,69,-77,67,-123,58,-152,40,-137,38,-189,38,-219,38,-247,14,-141,15,-199,16,-235,17,-267,-12,-135,-8,-190,-6,-225,-5,-255,-39,-119,-35,-163,-32,-190,-31,-217,stop,1.802919708029197,1.8936170212765957,1.8888888888888888,1.8235294117647058,0.506578947368421,1.1896551724137931
0,0,66,-37,95,-118,89,-185,87,-234,45,-195,45,-272,44,-319,38,-363,4,-196,4,-278,5,-333,4,-383,-35,-182,-34,-259,-31,-311,-29,-358,-74,-153,-74,-216,-72,-256,-70,-299,stop,1.8615384615384616,1.9540816326530612,1.967032967032967,1.9542483660130718,0.5042735042735043,1.0919540229885059
0,0,47,-29,72,-88,70,-138,66,-173,35,-149,35,-203,34,-236,32,-267,5,-150,7,-210,9,-249,10,-284,-22,-141,-21,-198,-17,-234,-13,-267,-51,-121,-50,-167,-47,-195,-43,-224,stop,1.7919463087248322,1.8933333333333333,1.8936170212765957,1.8512396694214877,0.5086705202312138,1.0909090909090908
0,0,6,-18,17,-39,29,-54,35,-66,29,-62,33,-84,33,-85,35,-85,32,-59,35,-82,33,-81,32,-78,30,-51,34,-71,31,-69,28,-65,26,-39,31,-57,30,-58,28,-56,stop,1.3709677419354838,1.3220338983050848,1.2745098039215685,1.435897435897436,0.5909090909090909,0.4857142857142857
0,0,39,-17,58,-65,57,-105,55,-132,32,-115,32,-159,32,-187,31,-213,9,-117,10,-166,13,-198,16,-227,-13,-110,-10,-157,-7,-188,-3,-215,-35,-95,-33,-132,-30,-156,-27,-181,stop,1.8521739130434782,1.9401709401709402,1.9545454545454546,1.9052631578947368,0.49242424242424243,1.0545454545454545
0,0,76,-32,113,-110,110,-180,103,-234,62,-198,68,-283,70,-339,69,-392,14,-199,19,-291,26,-353,30,-410,-32,-185,-27,-270,-17,-329,-10,-383,-79,-157,-76,-225,-69,-271,-62,-319,stop,1.97979797979798,2.0603015075376883,2.0702702702702704,2.031847133757962,0.4700854700854701,1.0970873786407767
0,0,44,-23,70,-72,71,-117,68,-148,41,-129,44,-181,46,-213,46,-243,14,-132,20,-188,24,-224,27,-257,-11,-125,-6,-178,-1,-212,4,-243,-37,-109,-35,-151,-31,-177,-26,-204,stop,1.8837209302325582,1.946969696969697,1.944,1.871559633027523,0.4864864864864865,1.0294117647058822
0,0,32,-13,54,-37,61,-63,63,-82,44,-78,53,-108,58,-126,63,-143,28,-83,39,-116,46,-137,52,-155,12,-83,23,-114,30,-134,37,-151,-6,-76,1,-102,7,-117,13,-132,stop,1.8333333333333333,1.8674698795180722,1.819277108433735,1.736842105263158,0.45121951219512196,0.8571428571428571
0,0,28,-9,48,-31,54,-55,54,-72,37,-65,44,-93,49,-109,53,-124,23,-70,31,-100,38,-119,44,-135,8,-69,17,-97,23,-114,31,-130,-9,-64,-3,-86,2,-100,8,-114,stop,1.9076923076923078,1.9285714285714286,1.8840579710144927,1.78125,0.4305555555555556,0.8888888888888888
0,0,25,-8,44,-27,50,-48,50,-65,33,-59,39,-84,42,-99,46,-112,19,-63,27,-90,32,-108,37,-123,6,-62,13,-88,19,-104,24,-118,-9,-57,-4,-78,-1,-90,4,-102,stop,1.8983050847457628,1.9523809523809523,1.903225806451613,1.7894736842105263,0.4153846153846154,0.88
0,0,21,-20,26,-49,19,-72,13,-88,2,-73,-7,-100,-13,-117,-18,-133,-12,-69,-21,-99,-26,-119,-32,-137,-24,-60,-31,-88,-35,-108,-39,-125,-34,-47,-41,-69,-44,-83,-48,-97,stop,1.821917808219178,1.9855072463768115,2.0833333333333335,2.0638297872340425,0.5568181818181818,2.0
0,0,26,-11,43,-34,47,-58,46,-76,29,-66,33,-95,35,-113,36,-129,14,-69,19,-99,22,-120,25,-138,0,-65,5,-94,9,-113,13,-130,-15,-57,-13,-81,-10,-96,-8,-110,stop,1.9545454545454546,2.0,2.0,1.9298245614035088,0.4473684210526316,0.9347826086956522
